Punto;Distancia;x mE;y mN;z;join_Lito
106;2520.089111;358055.3558;2835761.562;1532.65;Caliza
107;2544.08996;358075.3423;2835774.85;1527.6;Caliza
108;2568.090808;358095.3288;2835788.139;1504.25;Caliza
109;2592.091657;358115.3153;2835801.427;1483.81;Caliza
110;2616.092506;358135.3019;2835814.715;1480.41;Caliza
111;2640.093354;358155.2884;2835828.004;1461.11;Caliza
112;2664.094203;358175.2749;2835841.292;1441.77;Caliza
113;2688.095052;358195.2614;2835854.58;1435.37;Caliza
114;2712.0959;358215.2479;2835867.869;1413.62;Caliza
115;2736.096749;358235.2345;2835881.157;1391.87;Caliza
116;2760.097598;358255.221;2835894.445;1383.88;Caliza
117;2784.098446;358275.2075;2835907.734;1360.32;Caliza
118;2808.099295;358295.194;2835921.022;1336.03;Caliza
119;2832.100144;358315.1805;2835934.31;1326.57;Caliza
120;2856.100992;358335.167;2835947.599;1302.12;Caliza
121;2880.101841;358355.1536;2835960.887;1277.76;Caliza
122;2904.10269;358375.1401;2835974.175;1270.66;Caliza
123;2928.103539;358395.1266;2835987.464;1252.03;Caliza
124;2952.104387;358415.1131;2836000.752;1235.69;Caliza
125;2976.105236;358435.0996;2836014.04;1235.74;Caliza
126;3000.106085;358455.0862;2836027.329;1214.71;Caliza
127;3024.106933;358475.0727;2836040.617;1192.82;Caliza
128;3048.107782;358495.0592;2836053.905;1185.34;lutita-limolita-cali
129;3072.108631;358515.0457;2836067.194;1165.21;lutita-limolita-cali
130;3096.109479;358535.0322;2836080.482;1144.88;lutita-limolita-cali
131;3120.110328;358555.0188;2836093.77;1137.29;lutita-limolita-cali
132;3144.111177;358575.0053;2836107.059;1118.94;lutita-limolita-cali
133;3168.112025;358594.9918;2836120.347;1101.64;lutita-limolita-cali
134;3192.112874;358614.9783;2836133.635;1096.05;lutita-limolita-cali
135;3216.113723;358634.9648;2836146.924;1079.41;lutita-limolita-cali
136;3240.114571;358654.9513;2836160.212;1062.78;lutita-limolita-cali
137;3264.11542;358674.9379;2836173.5;1059.25;lutita-limolita-cali
138;3288.116269;358694.9244;2836186.789;1048.29;lutita-limolita-cali
139;3312.117117;358714.9109;2836200.077;1037.76;lutita-limolita-cali
140;3336.117966;358734.8974;2836213.365;1037.14;lutita-limolita-cali
141;3360.118815;358754.8839;2836226.654;1031.43;lutita-limolita-cali
142;3384.119663;358774.8705;2836239.942;1025.04;lutita-limolita-cali
143;3408.120512;358794.857;2836253.23;1024.63;lutita-limolita-cali
144;3432.121361;358814.8435;2836266.519;1019.88;lutita-limolita-cali
145;3456.122209;358834.83;2836279.807;1016.73;lutita-limolita-cali
146;3480.123058;358854.8165;2836293.095;1017.24;lutita-marga
147;3504.123907;358874.803;2836306.384;1015.3;lutita-marga
148;3528.124755;358894.7896;2836319.672;1013.78;lutita-marga
149;3552.125604;358914.7761;2836332.96;1014.51;lutita-marga
150;3576.126453;358934.7626;2836346.249;1011.42;lutita-marga
151;3600.127301;358954.7491;2836359.537;1009.42;lutita-marga
152;3624.12815;358974.7356;2836372.825;1004.04;lutita-marga
153;3648.128999;358994.7222;2836386.114;1000;lutita-marga
154;3672.129847;359014.7087;2836399.402;1000;lutita-marga
155;3696.130696;359034.6952;2836412.69;997.5;lutita-marga
156;3720.131545;359054.6817;2836425.979;996.78;lutita-marga
157;3744.132394;359074.6682;2836439.267;1003.65;lutita-marga
158;3768.133242;359094.6547;2836452.555;1003.33;lutita-marga
159;3792.134091;359114.6413;2836465.844;1001.05;lutita-marga
160;3816.13494;359134.6278;2836479.132;1001.85;lutita-marga
161;3840.135788;359154.6143;2836492.42;997.06;lutita-marga
162;3864.136637;359174.6008;2836505.709;991.9;lutita-marga
163;3888.137486;359194.5873;2836518.997;991.65;lutita-marga
164;3912.138334;359214.5739;2836532.285;986.77;lutita-marga
165;3936.139183;359234.5604;2836545.574;980.4;lutita-marga
166;3960.140032;359254.5469;2836558.862;980.11;lutita-marga
167;3984.14088;359274.5334;2836572.15;972.25;lutita-marga
168;4008.141729;359294.5199;2836585.439;963.65;lutita-marga
169;4032.142578;359314.5065;2836598.727;960.66;lutita-marga
170;4056.143426;359334.493;2836612.015;947.54;lutita-marga
171;4080.144275;359354.4795;2836625.304;935.27;lutita-marga
172;4104.145124;359374.466;2836638.592;930.56;lutita-marga
173;4128.145972;359394.4525;2836651.88;918.37;lutita-marga
174;4152.146821;359414.439;2836665.169;905.51;lutita-marga
175;4176.14767;359434.4256;2836678.457;902.83;lutita-marga
176;4200.148518;359454.4121;2836691.745;889.8;lutita-marga
177;4224.149367;359474.3986;2836705.034;877.16;lutita-marga
178;4248.150216;359494.3851;2836718.322;875;lutita-marga
179;4272.151064;359514.3716;2836731.61;863.07;lutita-marga
180;4296.151913;359534.3582;2836744.899;852.21;lutita-marga
181;4320.152762;359554.3447;2836758.187;853.31;lutita-marga
182;4344.15361;359574.3312;2836771.475;845.32;lutita-marga
183;4368.154459;359594.3177;2836784.764;839.44;lutita-marga
184;4392.155308;359614.3042;2836798.052;840.1;lutita-marga
185;4416.156156;359634.2907;2836811.34;836.07;lutita-marga
186;4440.157005;359654.2773;2836824.629;831.06;lutita-marga
187;4464.157854;359674.2638;2836837.917;829.21;lutita-marga
188;4488.158702;359694.2503;2836851.205;822.52;lutita-marga
189;4512.159551;359714.2368;2836864.494;811.99;lutita-marga
190;4536.1604;359734.2233;2836877.782;803.16;lutita-marga
191;4560.161249;359754.2099;2836891.07;791.4;lutita-marga
192;4584.162097;359774.1964;2836904.359;780.52;lutita-marga
193;4608.162946;359794.1829;2836917.647;772.53;lutita-marga
194;4632.163795;359814.1694;2836930.935;763.78;lutita-marga
195;4656.164643;359834.1559;2836944.224;756.33;lutita-marga
196;4680.165492;359854.1425;2836957.512;751.27;lutita-marga
197;4704.166341;359874.129;2836970.8;745.04;lutita-marga
198;4728.167189;359894.1155;2836984.089;739.36;lutita-marga
199;4752.168038;359914.102;2836997.377;736.65;lutita-marga
200;4776.168887;359934.0885;2837010.665;733.29;lutita-marga
201;4800.169735;359954.075;2837023.954;729.93;lutita-marga
202;4824.170584;359974.0616;2837037.242;727.22;lutita-marga
203;4848.171433;359994.0481;2837050.53;723.86;lutita-marga
204;4872.172281;360014.0346;2837063.819;719.59;lutita-marga
205;4896.17313;360034.0211;2837077.107;718.27;lutita-marga
206;4920.173979;360054.0076;2837090.395;715.02;lutita-marga
207;4944.174827;360073.9942;2837103.684;711.76;lutita-marga
208;4968.175676;360093.9807;2837116.972;710.46;aluvion
209;4992.176525;360113.9672;2837130.26;707.09;aluvion
210;5016.177373;360133.9537;2837143.549;703.72;aluvion
211;5040.178222;360153.9402;2837156.837;702.06;aluvion
212;5064.179071;360173.9267;2837170.125;699.01;aluvion
213;5088.179919;360193.9133;2837183.414;696.73;aluvion
214;5112.180768;360213.8998;2837196.702;695.6;aluvion
215;5136.181617;360233.8863;2837209.99;693.34;aluvion
216;5160.182465;360253.8728;2837223.279;691.07;aluvion
217;5184.183314;360273.8593;2837236.567;689.92;aluvion
218;5208.184163;360293.8459;2837249.855;687.67;aluvion
219;5232.185011;360313.8324;2837263.144;685.42;aluvion
220;5256.18586;360333.8189;2837276.432;684.35;aluvion
221;5280.186709;360353.8054;2837289.72;682.1;aluvion
222;5304.187557;360373.7919;2837303.009;679.86;aluvion
223;5328.188406;360393.7784;2837316.297;679.13;aluvion
224;5352.189255;360413.765;2837329.585;677.27;aluvion
225;5376.190104;360433.7515;2837342.874;675.42;aluvion
226;5400.190952;360453.738;2837356.162;674.92;aluvion
227;5424.191801;360473.7245;2837369.45;673.17;aluvion
228;5448.19265;360493.711;2837382.739;671.38;aluvion
229;5472.193498;360513.6976;2837396.027;670.77;aluvion
230;5496.194347;360533.6841;2837409.315;668.98;aluvion
231;5520.195196;360553.6706;2837422.604;667.19;aluvion
232;5544.196044;360573.6571;2837435.892;666.58;aluvion
233;5568.196893;360593.6436;2837449.18;664.79;aluvion
234;5592.197742;360613.6302;2837462.469;662.99;aluvion
235;5616.19859;360633.6167;2837475.757;662.39;aluvion
236;5640.199439;360653.6032;2837489.045;660.59;aluvion
237;5664.200288;360673.5897;2837502.334;659.1;aluvion
238;5688.201136;360693.5762;2837515.622;658.16;aluvion
239;5712.201985;360713.5627;2837528.91;656.72;aluvion
240;5736.202834;360733.5493;2837542.199;655.28;aluvion
241;5760.203682;360753.5358;2837555.487;654.34;aluvion
242;5784.204531;360773.5223;2837568.775;652.9;aluvion
243;5808.20538;360793.5088;2837582.064;651.46;aluvion
244;5832.206228;360813.4953;2837595.352;650.52;aluvion
245;5856.207077;360833.4819;2837608.64;649.08;aluvion
246;5880.207926;360853.4684;2837621.929;647.63;aluvion
247;5904.208774;360873.4549;2837635.217;646.7;aluvion
248;5928.209623;360893.4414;2837648.505;645.26;aluvion
249;5952.210472;360913.4279;2837661.794;643.81;aluvion
250;5976.21132;360933.4144;2837675.082;642.88;aluvion
251;6000.212169;360953.401;2837688.37;641.43;aluvion
252;6024.213018;360973.3875;2837701.659;640;aluvion
253;6048.213866;360993.374;2837714.947;640;aluvion
254;6072.214715;361013.3605;2837728.235;640;aluvion
255;6096.215564;361033.347;2837741.524;639.62;aluvion
256;6120.216412;361053.3336;2837754.812;639.16;aluvion
257;6144.217261;361073.3201;2837768.1;638.1;aluvion
258;6168.21811;361093.3066;2837781.389;637.04;aluvion
259;6192.218959;361113.2931;2837794.677;636.58;aluvion
260;6216.219807;361133.2796;2837807.965;635.52;aluvion
261;6240.220656;361153.2661;2837821.254;634.46;aluvion
262;6264.221505;361173.2527;2837834.542;634;aluvion
263;6288.222353;361193.2392;2837847.83;632.94;aluvion
