Punto;Distancia;x mE;y mN;z;join_Lito
464;11112.39294;365210.5294;2840518.786;582.24;Lutita-Caliza
465;11136.39379;365230.5159;2840532.074;579.52;Lutita-Caliza
466;11160.39463;365250.5024;2840545.362;577.15;Lutita-Caliza
467;11184.39548;365270.4889;2840558.651;574.78;Lutita-Caliza
468;11208.39633;365290.4755;2840571.939;573.37;Lutita-Caliza
469;11232.39718;365310.462;2840585.227;571.08;Lutita-Caliza
470;11256.39803;365330.4485;2840598.516;568.74;Lutita-Caliza
471;11280.39888;365350.435;2840611.804;567.38;Lutita-Caliza
472;11304.39973;365370.4215;2840625.092;565;aluvion
473;11328.40058;365390.4081;2840638.381;562.63;aluvion
474;11352.40142;365410.3946;2840651.669;561.27;aluvion
475;11376.40227;365430.3811;2840664.957;560;aluvion
476;11400.40312;365450.3676;2840678.246;560;aluvion
477;11424.40397;365470.3541;2840691.534;560;aluvion
478;11448.40482;365490.3407;2840704.822;560;aluvion
479;11472.40567;365510.3272;2840718.111;560;aluvion
480;11496.40652;365530.3137;2840731.399;560;aluvion
481;11520.40736;365550.3002;2840744.687;560;aluvion
482;11544.40821;365570.2867;2840757.976;560;aluvion
483;11568.40906;365590.2732;2840771.264;560;aluvion
484;11592.40991;365610.2598;2840784.552;560;aluvion
485;11616.41076;365630.2463;2840797.841;560;aluvion
486;11640.41161;365650.2328;2840811.129;559.53;aluvion
487;11664.41246;365670.2193;2840824.417;558.77;aluvion
488;11688.41331;365690.2058;2840837.706;558.01;aluvion
489;11712.41415;365710.1924;2840850.994;557.24;aluvion
490;11736.415;365730.1789;2840864.282;556.48;aluvion
491;11760.41585;365750.1654;2840877.571;555.72;aluvion
492;11784.4167;365770.1519;2840890.859;555.34;aluvion
493;11808.41755;365790.1384;2840904.147;554.97;aluvion
494;11832.4184;365810.1249;2840917.436;554.51;aluvion
495;11856.41925;365830.1115;2840930.724;554.13;aluvion
496;11880.42009;365850.098;2840944.012;553.76;aluvion
497;11904.42094;365870.0845;2840957.301;553.03;aluvion
498;11928.42179;365890.071;2840970.589;552.25;aluvion
499;11952.42264;365910.0575;2840983.877;551.48;aluvion
500;11976.42349;365930.0441;2840997.166;550.69;aluvion
501;12000.42434;365950.0306;2841010.454;549.91;aluvion
502;12024.42519;365970.0171;2841023.742;549.14;aluvion
503;12048.42604;365990.0036;2841037.031;548.35;aluvion
504;12072.42688;366009.9901;2841050.319;547.58;aluvion
505;12096.42773;366029.9767;2841063.607;546.8;aluvion
506;12120.42858;366049.9632;2841076.896;546.01;aluvion
507;12144.42943;366069.9497;2841090.184;545.24;aluvion
508;12168.43028;366089.9362;2841103.472;544.46;aluvion
509;12192.43113;366109.9227;2841116.761;543.68;aluvion
510;12216.43198;366129.9092;2841130.049;542.9;aluvion
511;12240.43282;366149.8958;2841143.337;542.12;aluvion
512;12264.43367;366169.8823;2841156.626;541.34;aluvion
513;12288.43452;366189.8688;2841169.914;540.56;aluvion
514;12312.43537;366209.8553;2841183.202;547.74;aluvion
515;12336.43622;366229.8418;2841196.491;547.65;aluvion
516;12360.43707;366249.8284;2841209.779;547.65;aluvion
517;12384.43792;366269.8149;2841223.067;547.66;aluvion
518;12408.43877;366289.8014;2841236.356;547.57;aluvion
519;12432.43961;366309.7879;2841249.644;547.57;aluvion
520;12456.44046;366329.7744;2841262.932;547.57;aluvion
521;12480.44131;366349.7609;2841276.221;547.48;aluvion
522;12504.44216;366369.7475;2841289.509;547.41;aluvion
523;12528.44301;366389.734;2841302.797;547.35;aluvion
524;12552.44386;366409.7205;2841316.086;547.24;aluvion
525;12576.44471;366429.707;2841329.374;547.36;aluvion
526;12600.44556;366449.6935;2841342.662;547.14;aluvion
527;12624.4464;366469.6801;2841355.951;546.9;aluvion
528;12648.44725;366489.6666;2841369.239;546.68;aluvion
529;12672.4481;366509.6531;2841382.527;546.46;aluvion
530;12696.44895;366529.6396;2841395.816;546.22;aluvion
531;12720.4498;366549.6261;2841409.104;546;aluvion
532;12744.45065;366569.6126;2841422.392;545.77;aluvion
533;12768.4515;366589.5992;2841435.681;545.53;aluvion
534;12792.45234;366609.5857;2841448.969;545.31;aluvion
535;12816.45319;366629.5722;2841462.257;545.09;aluvion
536;12840.45404;366649.5587;2841475.546;544.85;aluvion
537;12864.45489;366669.5452;2841488.834;544.63;aluvion
538;12888.45574;366689.5318;2841502.122;544.4;aluvion
539;12912.45659;366709.5183;2841515.411;544.16;aluvion
540;12936.45744;366729.5048;2841528.699;543.94;aluvion
541;12960.45829;366749.4913;2841541.987;543.83;aluvion
542;12984.45913;366769.4778;2841555.276;543.64;aluvion
543;13008.45998;366789.4644;2841568.564;543.39;aluvion
544;13032.46083;366809.4509;2841581.852;543.1;aluvion
545;13056.46168;366829.4374;2841595.141;542.84;aluvion
546;13080.46253;366849.4239;2841608.429;542.56;aluvion
547;13104.46338;366869.4104;2841621.717;542.27;aluvion
548;13128.46423;366889.3969;2841635.006;542.01;aluvion
549;13152.46507;366909.3835;2841648.294;541.72;aluvion
550;13176.46592;366929.37;2841661.582;541.44;aluvion
551;13200.46677;366949.3565;2841674.871;541.18;aluvion
552;13224.46762;366969.343;2841688.159;540.89;aluvion
553;13248.46847;366989.3295;2841701.447;540.61;aluvion
554;13272.46932;367009.3161;2841714.736;540.34;aluvion
555;13296.47017;367029.3026;2841728.024;540.06;aluvion
556;13320.47102;367049.2891;2841741.312;540;aluvion
557;13344.47186;367069.2756;2841754.601;540;aluvion
558;13368.47271;367089.2621;2841767.889;540;aluvion
559;13392.47356;367109.2486;2841781.177;540;aluvion
560;13416.47441;367129.2352;2841794.466;540;aluvion
561;13440.47526;367149.2217;2841807.754;540;aluvion
562;13464.47611;367169.2082;2841821.042;540;aluvion
563;13488.47696;367189.1947;2841834.331;540;aluvion
564;13512.4778;367209.1812;2841847.619;540;aluvion
565;13536.47865;367229.1678;2841860.907;540;aluvion
566;13560.4795;367249.1543;2841874.196;540;aluvion
567;13584.48035;367269.1408;2841887.484;540;aluvion
568;13608.4812;367289.1273;2841900.772;540;aluvion
569;13632.48205;367309.1138;2841914.061;540;aluvion
570;13656.4829;367329.1004;2841927.349;540;aluvion
571;13680.48375;367349.0869;2841940.637;540;aluvion
572;13704.48459;367369.0734;2841953.926;540;aluvion
573;13728.48544;367389.0599;2841967.214;540;aluvion
574;13752.48629;367409.0464;2841980.502;540;aluvion
575;13776.48714;367429.0329;2841993.791;540;aluvion
576;13800.48799;367449.0195;2842007.079;540;aluvion
577;13824.48884;367469.006;2842020.367;540;aluvion
578;13824.48884;367469.006;2842020.367;540;aluvion
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
